# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5111e-01 1.3568e-04 9.1295e-07
9.6429e-01 1.7918e-04 1.1121e-06
9.7780e-01 2.5173e-04 1.6083e-06
9.9163e-01 3.5192e-04 2.1099e-06
1.0058e+00 4.8036e-04 2.8017e-06
1.0203e+00 6.4527e-04 3.5478e-06
1.0351e+00 8.4467e-04 4.6028e-06
1.0503e+00 1.0581e-03 5.4957e-06
1.0658e+00 1.2328e-03 6.6357e-06
1.0816e+00 1.2918e-03 6.8208e-06
1.0977e+00 9.3363e-04 5.0304e-06
1.1142e+00 4.1605e-04 2.2891e-06
1.1309e+00 2.3088e-04 1.1104e-06
1.1479e+00 1.9013e-04 6.9359e-07
1.1652e+00 1.9922e-04 7.7477e-07
1.1828e+00 3.3056e-04 1.3381e-06
1.2007e+00 7.2140e-04 3.1325e-06
1.2188e+00 1.2608e-03 5.4921e-06
1.2371e+00 1.6722e-03 4.6535e-06
1.2556e+00 2.1208e-03 4.5830e-06
1.2744e+00 2.3999e-03 5.2835e-06
1.2933e+00 2.2182e-03 4.7721e-06
1.3124e+00 1.7069e-03 5.3342e-06
1.3317e+00 7.6432e-04 2.2756e-06
1.3511e+00 1.4668e-04 4.8143e-07
1.3706e+00 3.3660e-05 1.1046e-07
1.3903e+00 2.9631e-05 1.1931e-07
1.4100e+00 3.2928e-05 1.2567e-07
1.4299e+00 5.1033e-05 1.3033e-07
1.4498e+00 1.0495e-04 2.0068e-07
1.4697e+00 1.7906e-04 3.2697e-07
1.4897e+00 2.8469e-04 5.2634e-07
1.5097e+00 4.8413e-04 1.3546e-06
1.5298e+00 8.5361e-04 2.3071e-06
1.5498e+00 1.3619e-03 3.7953e-06
1.5699e+00 1.8886e-03 4.2672e-06
1.5899e+00 1.8792e-03 3.5451e-06
1.6099e+00 1.1597e-03 2.2654e-06
1.6299e+00 5.1998e-04 1.1387e-06
1.6498e+00 3.9565e-04 1.1942e-06
1.6697e+00 3.3292e-04 1.5789e-06
1.6895e+00 3.1210e-04 9.8823e-07
1.7093e+00 3.0656e-04 1.5668e-06
1.7290e+00 3.3563e-04 1.6145e-06
1.7486e+00 2.9846e-04 1.3801e-06
1.7682e+00 2.4812e-04 1.2194e-06
1.7877e+00 1.8097e-04 8.4784e-07
1.8071e+00 1.3662e-04 5.9561e-07
1.8264e+00 1.2902e-04 4.5100e-07
1.8456e+00 1.0934e-04 3.9038e-07
1.8648e+00 1.0372e-04 3.1498e-07
1.8825e+00 1.6002e-04 5.3295e-07
1.9015e+00 2.1429e-04 6.3328e-07
1.9204e+00 2.0275e-04 6.0935e-07
1.9391e+00 1.6416e-04 5.7235e-07
1.9578e+00 1.8882e-04 9.3725e-07
1.9764e+00 2.6864e-04 1.4816e-06
1.9948e+00 3.7507e-04 1.5582e-06
2.0132e+00 5.0808e-04 2.0018e-06
2.0315e+00 6.6936e-04 2.2784e-06
2.0496e+00 8.3243e-04 3.0310e-06
2.0677e+00 9.3916e-04 3.2544e-06
2.0857e+00 9.9313e-04 2.8746e-06
2.1035e+00 9.5169e-04 2.5505e-06
2.1213e+00 8.5807e-04 2.2460e-06
2.1389e+00 7.2959e-04 1.8355e-06
2.1565e+00 5.8095e-04 1.5922e-06
2.1740e+00 4.6068e-04 1.3741e-06
2.1913e+00 2.9237e-04 8.8605e-07
2.2086e+00 1.3385e-04 4.2029e-07
2.2258e+00 1.0238e-04 2.6871e-07
2.2428e+00 7.4041e-05 1.9336e-07
2.2598e+00 5.4711e-05 1.6223e-07
2.2767e+00 4.8967e-05 1.4635e-07
2.2935e+00 4.4191e-05 1.3954e-07
2.3102e+00 5.5197e-05 1.6010e-07
2.3268e+00 4.3252e-05 1.6144e-07
2.3433e+00 3.5522e-05 1.5550e-07
2.3597e+00 4.2553e-05 1.8534e-07
2.3760e+00 4.2862e-05 2.0611e-07
2.3922e+00 5.5422e-05 2.6884e-07
2.4084e+00 8.1633e-05 3.9680e-07
2.4245e+00 9.7360e-05 4.5742e-07
2.4404e+00 1.1506e-04 4.6963e-07
2.4563e+00 1.4403e-04 3.9227e-07
2.4721e+00 1.6238e-04 3.9996e-07
2.4878e+00 1.7147e-04 4.0653e-07
2.5035e+00 1.6534e-04 3.7860e-07
2.5190e+00 1.3539e-04 3.5612e-07
2.5345e+00 1.0826e-04 3.7520e-07
2.5499e+00 8.9998e-05 3.0732e-07
2.5652e+00 7.5555e-05 2.6360e-07
2.5804e+00 6.8144e-05 2.8312e-07
2.5956e+00 6.6908e-05 2.8391e-07
2.6107e+00 8.3215e-05 3.3252e-07
2.6257e+00 1.2297e-04 6.0204e-07
2.6406e+00 1.7584e-04 9.6725e-07
2.6555e+00 1.4847e-04 7.6127e-07
2.6702e+00 7.8580e-05 3.5180e-07
2.6850e+00 6.4544e-05 2.6268e-07
2.6996e+00 8.8739e-05 2.9237e-07
2.7142e+00 1.0645e-04 3.0362e-07
2.7287e+00 1.4339e-04 3.3023e-07
2.7431e+00 1.5864e-04 3.3759e-07
2.7574e+00 1.3630e-04 3.0059e-07
2.7717e+00 1.1270e-04 2.6416e-07
2.7860e+00 1.2572e-04 2.9028e-07
2.8001e+00 1.4904e-04 3.2703e-07
2.8142e+00 1.6027e-04 3.4886e-07
2.8282e+00 1.8109e-04 4.1272e-07
2.8422e+00 1.9409e-04 5.2361e-07
2.8561e+00 2.0804e-04 6.7844e-07
2.8700e+00 2.4720e-04 5.9477e-07
2.8837e+00 2.9031e-04 7.2983e-07
2.8975e+00 3.0469e-04 6.7894e-07
2.9111e+00 3.4362e-04 6.7441e-07
2.9247e+00 3.9127e-04 8.0548e-07
2.9382e+00 4.7678e-04 1.0190e-06
2.9517e+00 4.8024e-04 9.4873e-07
2.9651e+00 4.8459e-04 9.1652e-07
2.9785e+00 5.3205e-04 1.1245e-06
2.9918e+00 5.8256e-04 1.5349e-06
3.0051e+00 5.3118e-04 1.6159e-06
3.0183e+00 6.0700e-04 2.1937e-06
3.0314e+00 6.5153e-04 2.4227e-06
3.0445e+00 6.2709e-04 2.1848e-06
3.0575e+00 5.3604e-04 1.8353e-06
3.0705e+00 4.8940e-04 1.5566e-06
3.0835e+00 4.0352e-04 1.1197e-06
3.0963e+00 3.5846e-04 6.6560e-07
3.1092e+00 3.0324e-04 5.6808e-07
3.1219e+00 2.4386e-04 4.4879e-07
3.1347e+00 1.8400e-04 3.3632e-07
3.1473e+00 1.4068e-04 3.0799e-07
3.1600e+00 1.1991e-04 2.9900e-07
3.1725e+00 1.0133e-04 2.7590e-07
3.1851e+00 8.9645e-05 2.5963e-07
3.1975e+00 7.9328e-05 2.6859e-07
3.2100e+00 7.3186e-05 2.7346e-07
3.2224e+00 7.4535e-05 2.7545e-07
3.2347e+00 7.5913e-05 2.5005e-07
3.2470e+00 8.5192e-05 2.6136e-07
3.2593e+00 1.0185e-04 3.5324e-07
3.2715e+00 1.2657e-04 4.5615e-07
3.2836e+00 1.5402e-04 5.5682e-07
3.2957e+00 1.6135e-04 6.2104e-07
3.3078e+00 1.1089e-04 4.6722e-07
3.3198e+00 3.7249e-05 2.3679e-07
3.3318e+00 2.9780e-05 2.0504e-07
3.3438e+00 6.5271e-05 2.6279e-07
3.3557e+00 1.0313e-04 3.3131e-07
3.3675e+00 1.2233e-04 3.5979e-07
3.3793e+00 1.1867e-04 3.6051e-07
3.3911e+00 1.1232e-04 3.5144e-07
3.4029e+00 1.0992e-04 3.3881e-07
3.4146e+00 1.0930e-04 3.2793e-07
3.4262e+00 1.0890e-04 3.2561e-07
3.4378e+00 1.0862e-04 3.3223e-07
3.4494e+00 1.1478e-04 3.6427e-07
3.4609e+00 1.2017e-04 3.7736e-07
3.4724e+00 1.1989e-04 3.8651e-07
3.4839e+00 1.3299e-04 4.9842e-07
3.4953e+00 1.5232e-04 7.1896e-07
3.5060e+00 1.7917e-04 7.8178e-07
3.5173e+00 1.9418e-04 7.7504e-07
3.5286e+00 1.9370e-04 8.6760e-07
3.5399e+00 2.0167e-04 8.3979e-07
3.5512e+00 2.4239e-04 7.4941e-07
3.5624e+00 2.7749e-04 6.5287e-07
3.5735e+00 2.8631e-04 6.6306e-07
3.5847e+00 2.9963e-04 7.3454e-07
3.5958e+00 3.1710e-04 9.6610e-07
3.6068e+00 3.1703e-04 1.1139e-06
3.6179e+00 3.6105e-04 1.3978e-06
3.6289e+00 4.2043e-04 1.7162e-06
3.6398e+00 4.7109e-04 1.9086e-06
3.6508e+00 5.4130e-04 2.0909e-06
3.6617e+00 6.0421e-04 2.1157e-06
3.6725e+00 6.5197e-04 2.0689e-06
3.6834e+00 7.0825e-04 1.6798e-06
3.6942e+00 7.5353e-04 1.6788e-06
3.7049e+00 7.9076e-04 1.7678e-06
3.7157e+00 7.8720e-04 1.8492e-06
3.7264e+00 8.0158e-04 1.5801e-06
3.7370e+00 8.9161e-04 1.1787e-06
