# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5201e-01 -6.2352e-08 1.4316e-07
9.6522e-01 2.6087e-07 1.4240e-07
9.7877e-01 6.0600e-07 1.4074e-07
9.9264e-01 1.3129e-06 1.3598e-07
1.0069e+00 2.0703e-06 1.4673e-07
1.0214e+00 3.5324e-06 1.6021e-07
1.0363e+00 6.3746e-06 1.8650e-07
1.0515e+00 9.2083e-06 1.9135e-07
1.0670e+00 1.0254e-05 1.9543e-07
1.0828e+00 7.9293e-06 1.7972e-07
1.0990e+00 2.7995e-06 1.4553e-07
1.1155e+00 4.3100e-07 1.1397e-07
1.1323e+00 2.1913e-07 1.0462e-07
1.1493e+00 1.7894e-07 1.0381e-07
1.1667e+00 1.0330e-07 1.0916e-07
1.1843e+00 2.5737e-07 1.0880e-07
1.2022e+00 9.4407e-07 1.0916e-07
1.2203e+00 3.1139e-06 1.3470e-07
1.2387e+00 8.0604e-06 1.7797e-07
1.2573e+00 1.3573e-05 2.0352e-07
1.2761e+00 1.2676e-05 2.0119e-07
1.2938e+00 6.2801e-06 1.6753e-07
1.3129e+00 2.1980e-06 1.3058e-07
1.3322e+00 5.8631e-07 1.2832e-07
1.3516e+00 5.1345e-08 1.1583e-07
1.3712e+00 2.3181e-08 1.1831e-07
1.3909e+00 -1.2968e-07 1.1927e-07
1.4107e+00 -2.7149e-07 1.1928e-07
1.4305e+00 1.2341e-07 1.3146e-07
1.4504e+00 1.2056e-07 1.3457e-07
1.4704e+00 3.5543e-08 1.4297e-07
1.4904e+00 2.3373e-07 1.3898e-07
1.5105e+00 5.5235e-07 1.3910e-07
1.5306e+00 1.4569e-06 1.4734e-07
1.5506e+00 4.2514e-06 1.8245e-07
1.5707e+00 9.2974e-06 2.3247e-07
1.5907e+00 9.9636e-06 2.3503e-07
1.6108e+00 4.0551e-06 1.8872e-07
1.6308e+00 6.9690e-07 1.6787e-07
1.6507e+00 -6.2468e-08 1.5690e-07
1.6706e+00 1.6024e-07 1.5896e-07
1.6905e+00 2.0831e-07 1.8020e-07
1.7103e+00 -2.8841e-08 1.7721e-07
1.7300e+00 2.3751e-07 1.9375e-07
1.7497e+00 3.8659e-07 1.8195e-07
1.7693e+00 1.6060e-07 1.7804e-07
1.7888e+00 -6.3638e-08 1.9959e-07
1.8082e+00 1.0415e-07 1.8721e-07
1.8275e+00 4.9836e-07 1.9604e-07
1.8468e+00 2.3686e-07 1.9988e-07
1.8659e+00 8.4257e-08 1.9312e-07
1.8850e+00 3.4403e-07 2.0413e-07
1.9040e+00 2.4085e-07 2.0261e-07
1.9229e+00 -5.7659e-08 2.1012e-07
1.9416e+00 -5.5306e-08 2.0418e-07
1.9603e+00 4.5350e-07 2.1698e-07
1.9789e+00 6.7453e-07 2.1686e-07
1.9974e+00 9.7324e-07 2.3915e-07
2.0158e+00 1.3268e-06 2.4871e-07
2.0341e+00 2.3283e-06 2.4792e-07
2.0522e+00 3.2934e-06 2.4911e-07
2.0703e+00 3.7668e-06 2.5682e-07
2.0883e+00 3.6566e-06 2.5453e-07
2.1062e+00 3.5653e-06 2.5790e-07
2.1239e+00 2.8618e-06 2.6568e-07
2.1416e+00 1.8824e-06 2.5093e-07
2.1592e+00 1.4954e-06 2.6334e-07
2.1767e+00 9.7695e-07 2.5105e-07
2.1940e+00 1.0129e-06 2.4611e-07
2.2113e+00 1.0764e-07 2.5163e-07
2.2285e+00 -7.0811e-08 2.4783e-07
2.2456e+00 1.1015e-07 2.5394e-07
2.2626e+00 6.4093e-07 2.7209e-07
2.2795e+00 -5.0352e-08 2.8139e-07
2.2963e+00 1.0824e-07 2.6141e-07
2.3130e+00 1.0759e-07 2.6204e-07
2.3296e+00 2.9547e-07 2.5426e-07
2.3461e+00 4.5656e-07 2.6740e-07
2.3625e+00 -1.5228e-07 2.6925e-07
2.3789e+00 2.3070e-07 2.6649e-07
2.3951e+00 1.5555e-07 2.8535e-07
2.4113e+00 6.6564e-08 2.8777e-07
2.4273e+00 2.7467e-07 2.8202e-07
2.4433e+00 -7.4778e-08 2.7702e-07
2.4592e+00 5.6249e-07 3.0120e-07
2.4750e+00 6.6724e-07 2.9608e-07
2.4908e+00 1.0288e-06 3.1130e-07
2.5064e+00 4.8909e-07 3.0575e-07
2.5220e+00 4.1002e-07 2.9518e-07
