# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.6205e-01 -2.4055e-07 2.2878e-07
9.7552e-01 -1.5896e-07 2.2010e-07
9.8931e-01 -6.1634e-08 2.1910e-07
1.0034e+00 4.6301e-07 2.2644e-07
1.0179e+00 2.2619e-07 2.2018e-07
1.0327e+00 6.1645e-07 2.2753e-07
1.0478e+00 1.6821e-06 2.2025e-07
1.0633e+00 2.6789e-06 2.2029e-07
1.0790e+00 2.0853e-06 2.0846e-07
1.0951e+00 7.2533e-07 1.9886e-07
1.1115e+00 4.4721e-07 1.7995e-07
1.1283e+00 1.2543e-07 1.8387e-07
1.1453e+00 8.0120e-08 1.7705e-07
1.1625e+00 -2.0778e-07 1.8260e-07
1.1801e+00 -6.9694e-08 1.6997e-07
1.1979e+00 1.7838e-07 1.7092e-07
1.2160e+00 5.2627e-07 1.8053e-07
1.2343e+00 1.0252e-06 1.8144e-07
1.2529e+00 2.1886e-06 1.8698e-07
1.2716e+00 2.8865e-06 1.8881e-07
1.2905e+00 1.3645e-06 1.8904e-07
1.3097e+00 6.7660e-07 1.7758e-07
1.3289e+00 1.7509e-07 1.8204e-07
1.3483e+00 4.6795e-08 1.8480e-07
1.3679e+00 -3.5496e-07 1.8548e-07
1.3875e+00 -1.2931e-07 2.0147e-07
1.4073e+00 -1.5230e-07 2.0841e-07
1.4272e+00 -9.3140e-08 2.0082e-07
1.4471e+00 8.4746e-08 2.1270e-07
1.4670e+00 2.6869e-08 2.1233e-07
1.4871e+00 4.1490e-07 2.1506e-07
1.5071e+00 5.4789e-07 2.2255e-07
1.5272e+00 1.8586e-07 2.3324e-07
1.5472e+00 5.2897e-07 2.5190e-07
1.5673e+00 1.1961e-06 2.6710e-07
1.5874e+00 1.8797e-06 2.5327e-07
1.6074e+00 1.0558e-06 2.5316e-07
1.6260e+00 2.5393e-07 2.5493e-07
1.6460e+00 1.9247e-07 2.7386e-07
1.6659e+00 2.4434e-07 2.7935e-07
1.6858e+00 5.5972e-07 2.7159e-07
1.7056e+00 3.2268e-07 2.9707e-07
1.7254e+00 5.2304e-08 2.9059e-07
1.7450e+00 -4.0734e-07 2.9959e-07
1.7646e+00 5.8035e-07 3.1094e-07
1.7842e+00 2.2209e-07 3.1438e-07
1.8036e+00 -3.0575e-08 3.1339e-07
1.8230e+00 -1.2571e-07 3.1129e-07
1.8423e+00 -2.8068e-08 3.0869e-07
1.8614e+00 2.6592e-07 3.2440e-07
1.8805e+00 1.5027e-07 3.2660e-07
1.8995e+00 5.0263e-08 3.1613e-07
1.9184e+00 -2.9179e-07 3.3257e-07
1.9372e+00 -1.4729e-07 3.3932e-07
1.9559e+00 1.8081e-07 3.4984e-07
1.9745e+00 6.8962e-07 3.6184e-07
1.9931e+00 3.5931e-07 3.4237e-07
2.0115e+00 7.5378e-07 3.5900e-07
2.0298e+00 5.7012e-07 3.6487e-07
2.0480e+00 8.8776e-07 3.8958e-07
2.0661e+00 9.3251e-07 3.7836e-07
2.0841e+00 1.2111e-06 3.8496e-07
2.1020e+00 9.3455e-07 3.8439e-07
2.1198e+00 8.2708e-07 3.8908e-07
2.1375e+00 8.1487e-07 4.0535e-07
2.1551e+00 6.1371e-07 4.0264e-07
2.1726e+00 -6.3623e-08 3.9442e-07
2.1900e+00 4.8205e-07 4.1566e-07
2.2073e+00 -1.1936e-07 4.0850e-07
2.2245e+00 -1.2094e-09 4.2469e-07
2.2416e+00 -2.7573e-07 4.3365e-07
2.2586e+00 2.6827e-07 4.1270e-07
2.2755e+00 3.0858e-07 4.3044e-07
2.2923e+00 7.0040e-07 4.4475e-07
2.3091e+00 2.3946e-07 4.2388e-07
2.3257e+00 -4.9088e-07 4.2437e-07
2.3422e+00 5.1215e-08 4.2730e-07
2.3587e+00 4.0262e-07 4.4047e-07
2.3750e+00 6.0530e-08 4.3979e-07
2.3913e+00 4.8083e-07 4.4607e-07
2.4075e+00 3.4389e-07 4.3750e-07
2.4236e+00 6.2561e-07 4.4875e-07
2.4396e+00 8.7641e-08 4.5099e-07
2.4555e+00 -3.7567e-08 4.4848e-07
2.4713e+00 -7.0338e-07 4.5723e-07
2.4871e+00 3.5577e-07 4.6294e-07
2.5028e+00 1.0900e-06 4.7683e-07
2.5183e+00 8.7461e-07 5.2579e-07
2.5338e+00 3.3723e-07 4.7845e-07
2.5493e+00 2.8198e-08 4.8156e-07
2.5646e+00 8.6397e-08 5.1221e-07
2.5799e+00 9.2140e-07 4.8155e-07
2.5951e+00 8.0356e-07 4.7393e-07
2.6102e+00 -6.0644e-07 4.9196e-07
2.6252e+00 -6.8343e-07 5.2177e-07
2.6402e+00 5.7680e-07 5.0505e-07
2.6551e+00 5.7506e-07 5.1446e-07
2.6699e+00 2.6139e-07 5.5082e-07
2.6846e+00 1.6627e-07 5.1441e-07
2.6993e+00 -3.3732e-07 5.1683e-07
2.7139e+00 3.0052e-07 5.2507e-07
2.7284e+00 7.1256e-08 5.3536e-07
2.7429e+00 7.3594e-07 5.7462e-07
2.7572e+00 1.5777e-07 5.6113e-07
2.7716e+00 2.9075e-09 5.8321e-07
2.7858e+00 3.2261e-08 5.8799e-07
2.8000e+00 -5.8802e-07 5.7889e-07
2.8141e+00 8.9919e-08 5.8594e-07
2.8282e+00 3.1725e-07 5.8321e-07
2.8422e+00 5.6786e-07 5.9294e-07
2.8561e+00 4.5603e-07 5.9871e-07
2.8700e+00 -7.6348e-08 5.9533e-07
2.8838e+00 8.2771e-07 6.1108e-07
2.8975e+00 1.2408e-06 6.1249e-07
2.9112e+00 8.2218e-07 6.3673e-07
2.9248e+00 1.2686e-06 6.3609e-07
2.9384e+00 2.7658e-06 6.5349e-07
2.9519e+00 2.8159e-06 6.6399e-07
2.9654e+00 2.4631e-06 6.3793e-07
2.9787e+00 3.0715e-06 6.6097e-07
2.9921e+00 2.0610e-06 6.6574e-07
3.0054e+00 2.0950e-06 6.6840e-07
3.0186e+00 3.9420e-06 6.7810e-07
3.0318e+00 4.4702e-06 6.8359e-07
3.0449e+00 3.5161e-06 6.8669e-07
3.0579e+00 4.9939e-06 7.0432e-07
3.0709e+00 4.1567e-06 6.8086e-07
3.0839e+00 3.4651e-06 6.8515e-07
3.0968e+00 3.4605e-06 7.4624e-07
3.1096e+00 3.1563e-06 7.1840e-07
3.1224e+00 2.7462e-06 7.1546e-07
3.1352e+00 2.2921e-06 7.1181e-07
3.1479e+00 1.1742e-06 7.3683e-07
3.1605e+00 1.6228e-06 7.3157e-07
3.1731e+00 -4.9757e-07 7.2293e-07
3.1857e+00 5.6246e-07 7.1695e-07
3.1982e+00 7.3308e-07 7.3843e-07
3.2107e+00 4.7264e-08 7.2681e-07
3.2231e+00 4.1531e-07 7.1463e-07
3.2354e+00 4.2320e-07 7.6108e-07
3.2478e+00 6.3371e-08 7.3109e-07
3.2600e+00 5.3595e-07 7.4283e-07
3.2723e+00 7.9187e-07 7.6085e-07
3.2844e+00 8.8649e-07 7.4904e-07
3.2966e+00 4.2852e-07 7.5072e-07
3.3087e+00 1.2917e-06 7.9594e-07
3.3207e+00 1.0013e-06 7.5932e-07
3.3327e+00 8.5241e-07 7.8523e-07
3.3447e+00 1.8334e-07 8.0883e-07
3.3566e+00 7.1523e-07 7.7815e-07
3.3685e+00 1.2196e-07 7.8625e-07
3.3804e+00 1.4015e-07 8.1371e-07
3.3922e+00 1.0329e-07 8.2649e-07
3.4031e+00 -4.2119e-07 8.0000e-07
3.4149e+00 -1.5150e-06 8.3969e-07
3.4265e+00 -2.0015e-07 8.2787e-07
3.4382e+00 -1.2479e-07 8.2940e-07
3.4498e+00 -2.9241e-09 8.3691e-07
3.4613e+00 -1.5814e-07 8.4935e-07
3.4729e+00 -2.4371e-08 8.4234e-07
3.4844e+00 8.9503e-07 8.8662e-07
3.4958e+00 1.0165e-06 8.5445e-07
3.5072e+00 2.4811e-06 8.6826e-07
3.5186e+00 3.1822e-07 8.9468e-07
3.5299e+00 8.0423e-07 9.0223e-07
3.5412e+00 7.0067e-07 9.1072e-07
3.5525e+00 1.5782e-06 9.2574e-07
3.5637e+00 2.2586e-06 9.5103e-07
3.5749e+00 2.0521e-06 9.0333e-07
3.5861e+00 8.0380e-07 8.8268e-07
3.5972e+00 2.4138e-06 9.3397e-07
3.6083e+00 2.4318e-06 9.4306e-07
3.6194e+00 3.1397e-06 9.4942e-07
3.6304e+00 2.5670e-06 9.7041e-07
3.6414e+00 4.0739e-06 9.6822e-07
3.6523e+00 5.1225e-06 9.4823e-07
3.6632e+00 6.2346e-06 9.6788e-07
3.6741e+00 5.3604e-06 9.8601e-07
3.6850e+00 7.2062e-06 1.0109e-06
3.6958e+00 7.2467e-06 1.0275e-06
3.7066e+00 9.4291e-06 1.0677e-06
3.7174e+00 8.2227e-06 1.0980e-06
3.7281e+00 7.7510e-06 1.0858e-06
3.7388e+00 9.2787e-06 1.0910e-06
3.7494e+00 1.2497e-05 1.0520e-06
3.7601e+00 1.5751e-05 1.0183e-06
3.7707e+00 1.1964e-05 1.0620e-06
3.7812e+00 9.5355e-06 1.1351e-06
3.7918e+00 9.8384e-06 1.1873e-06
3.8023e+00 1.3011e-05 1.1092e-06
3.8128e+00 2.1204e-05 1.2213e-06
3.8232e+00 2.6453e-05 1.2781e-06
3.8337e+00 2.7393e-05 1.2076e-06
3.8440e+00 1.4813e-05 1.1561e-06
3.8544e+00 1.2187e-05 1.1499e-06
3.8648e+00 1.8425e-05 1.1780e-06
3.8751e+00 1.8153e-05 1.2467e-06
3.8853e+00 2.1061e-05 1.2804e-06
3.8956e+00 2.3240e-05 1.2934e-06
3.9058e+00 2.3605e-05 1.2338e-06
3.9160e+00 2.5256e-05 1.2650e-06
3.9262e+00 2.5928e-05 1.2876e-06
3.9363e+00 3.1738e-05 1.3950e-06
3.9464e+00 3.4179e-05 1.4195e-06
3.9565e+00 3.5230e-05 1.4192e-06
