# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5818e-01 1.5625e-04 2.0317e-06
9.7154e-01 2.1896e-04 2.2829e-06
9.8524e-01 2.8700e-04 2.6297e-06
9.9927e-01 3.5611e-04 2.9309e-06
1.0136e+00 4.5789e-04 3.3015e-06
1.0283e+00 5.8725e-04 3.8132e-06
1.0434e+00 7.2675e-04 4.3283e-06
1.0587e+00 8.8131e-04 4.9224e-06
1.0744e+00 9.6419e-04 5.2993e-06
1.0904e+00 8.3944e-04 4.7334e-06
1.1067e+00 5.1456e-04 3.3252e-06
1.1233e+00 3.2075e-04 2.3955e-06
1.1403e+00 2.8302e-04 2.1449e-06
1.1575e+00 2.7604e-04 2.0044e-06
1.1749e+00 3.6328e-04 2.4373e-06
1.1927e+00 6.3650e-04 3.4722e-06
1.2107e+00 9.9479e-04 4.7298e-06
1.2289e+00 1.2845e-03 4.7873e-06
1.2474e+00 1.5168e-03 4.5823e-06
1.2661e+00 1.8189e-03 5.0699e-06
1.2850e+00 1.9610e-03 7.2544e-06
1.3040e+00 1.7181e-03 6.1864e-06
1.3233e+00 1.0205e-03 4.2157e-06
1.3426e+00 3.1365e-04 2.1464e-06
1.3622e+00 5.9188e-05 1.2626e-06
1.3818e+00 4.4940e-05 1.1789e-06
1.4015e+00 4.6686e-05 1.2541e-06
1.4213e+00 5.6245e-05 1.3105e-06
1.4412e+00 9.4467e-05 1.4817e-06
1.4612e+00 1.6341e-04 1.7575e-06
1.4812e+00 2.3946e-04 2.0347e-06
1.5012e+00 3.7240e-04 2.5451e-06
1.5213e+00 6.1172e-04 3.3706e-06
1.5414e+00 9.4500e-04 4.3203e-06
1.5614e+00 1.3013e-03 5.0592e-06
1.5815e+00 1.4522e-03 5.2139e-06
1.6015e+00 1.1651e-03 4.6081e-06
1.6215e+00 6.8505e-04 3.5944e-06
1.6415e+00 5.0661e-04 3.2299e-06
1.6601e+00 4.6422e-04 3.4647e-06
1.6800e+00 4.2706e-04 3.2940e-06
1.6998e+00 4.2306e-04 3.2440e-06
1.7196e+00 4.2781e-04 3.4396e-06
1.7393e+00 3.9100e-04 3.2715e-06
1.7589e+00 3.1600e-04 3.0430e-06
1.7785e+00 2.3487e-04 2.6940e-06
1.7979e+00 1.6863e-04 2.3914e-06
1.8173e+00 1.3922e-04 2.2356e-06
1.8366e+00 1.3176e-04 2.2284e-06
1.8558e+00 1.1428e-04 2.1532e-06
1.8749e+00 1.4222e-04 2.3134e-06
1.8940e+00 1.9864e-04 2.5862e-06
1.9129e+00 2.0784e-04 2.6723e-06
1.9317e+00 1.8381e-04 2.5869e-06
1.9505e+00 1.7996e-04 2.6363e-06
1.9691e+00 2.2603e-04 2.9999e-06
1.9876e+00 2.9903e-04 3.2664e-06
2.0061e+00 3.8270e-04 3.5060e-06
2.0244e+00 5.0697e-04 4.0050e-06
2.0426e+00 6.2066e-04 4.4737e-06
2.0608e+00 7.0636e-04 4.7651e-06
2.0788e+00 7.4878e-04 4.8578e-06
2.0967e+00 7.6344e-04 4.8191e-06
2.1146e+00 7.3819e-04 4.7132e-06
2.1323e+00 6.8014e-04 4.5757e-06
2.1499e+00 5.9586e-04 4.3928e-06
2.1674e+00 4.9009e-04 4.1030e-06
2.1849e+00 3.7206e-04 3.6939e-06
2.2022e+00 2.1529e-04 3.0840e-06
2.2194e+00 1.5252e-04 2.8492e-06
2.2366e+00 1.2608e-04 2.7632e-06
2.2536e+00 9.5063e-05 2.7597e-06
2.2706e+00 9.0131e-05 2.6546e-06
2.2874e+00 7.7419e-05 2.5550e-06
2.3042e+00 8.7199e-05 2.5936e-06
2.3208e+00 7.9336e-05 2.5580e-06
2.3374e+00 6.1714e-05 2.4881e-06
2.3539e+00 7.0277e-05 2.5463e-06
2.3702e+00 7.3912e-05 2.6216e-06
2.3865e+00 7.8880e-05 2.6762e-06
2.4027e+00 1.0318e-04 2.7836e-06
2.4189e+00 1.2648e-04 2.8755e-06
2.4349e+00 1.4278e-04 3.0070e-06
2.4508e+00 1.5472e-04 3.1037e-06
2.4667e+00 1.6568e-04 3.1288e-06
2.4825e+00 1.6511e-04 3.1324e-06
2.4982e+00 1.6179e-04 3.1233e-06
2.5138e+00 1.4417e-04 3.0702e-06
2.5293e+00 1.2066e-04 3.0283e-06
2.5447e+00 1.0148e-04 2.9018e-06
2.5601e+00 8.9918e-05 2.8758e-06
2.5754e+00 8.6908e-05 2.9419e-06
2.5906e+00 8.3540e-05 2.8747e-06
2.6057e+00 9.5044e-05 2.9274e-06
2.6208e+00 1.2258e-04 3.1018e-06
2.6358e+00 1.6860e-04 3.4100e-06
2.6507e+00 1.7584e-04 3.4721e-06
2.6655e+00 1.0796e-04 3.1813e-06
2.6803e+00 7.3043e-05 2.9912e-06
2.6950e+00 9.4104e-05 3.0999e-06
2.7096e+00 1.0423e-04 3.1587e-06
2.7241e+00 1.2761e-04 3.3114e-06
2.7386e+00 1.5842e-04 3.5114e-06
2.7530e+00 1.5061e-04 3.4994e-06
2.7674e+00 1.2651e-04 3.4330e-06
2.7816e+00 1.2056e-04 3.4825e-06
2.7958e+00 1.3835e-04 3.5681e-06
2.8100e+00 1.5094e-04 3.7505e-06
2.8241e+00 1.6694e-04 3.9204e-06
2.8381e+00 1.7530e-04 4.0225e-06
2.8520e+00 1.7999e-04 4.0138e-06
2.8659e+00 1.9977e-04 4.0902e-06
2.8797e+00 2.3316e-04 4.2723e-06
2.8935e+00 2.5308e-04 4.4209e-06
2.9072e+00 2.7114e-04 4.5058e-06
2.9208e+00 3.0188e-04 4.6137e-06
2.9344e+00 3.4244e-04 4.8712e-06
2.9479e+00 3.5703e-04 4.9529e-06
2.9614e+00 3.6331e-04 4.9271e-06
2.9748e+00 3.8451e-04 5.0116e-06
2.9882e+00 4.1849e-04 5.2076e-06
3.0015e+00 4.1469e-04 5.2981e-06
3.0147e+00 4.3831e-04 5.5356e-06
3.0279e+00 4.8008e-04 5.6936e-06
3.0410e+00 4.5563e-04 5.5773e-06
3.0541e+00 4.2263e-04 5.3562e-06
3.0671e+00 3.8549e-04 5.2601e-06
3.0801e+00 3.3665e-04 5.0765e-06
3.0930e+00 2.7855e-04 4.7758e-06
3.1059e+00 2.4897e-04 4.7703e-06
3.1187e+00 2.1260e-04 4.6360e-06
3.1314e+00 1.7162e-04 4.4629e-06
3.1442e+00 1.3870e-04 4.2232e-06
3.1568e+00 1.1482e-04 4.1768e-06
3.1694e+00 9.7202e-05 4.0930e-06
3.1820e+00 9.1719e-05 4.0929e-06
3.1945e+00 8.3933e-05 4.1511e-06
3.2070e+00 8.0510e-05 4.1401e-06
3.2194e+00 8.2314e-05 4.1429e-06
3.2318e+00 8.5707e-05 4.1876e-06
3.2441e+00 9.4898e-05 4.2801e-06
3.2564e+00 1.0453e-04 4.2494e-06
3.2687e+00 1.2165e-04 4.4369e-06
3.2809e+00 1.5414e-04 4.7346e-06
3.2930e+00 1.6952e-04 4.7524e-06
3.3051e+00 1.4243e-04 4.6416e-06
3.3172e+00 6.8888e-05 4.2373e-06
3.3292e+00 3.7220e-05 4.1275e-06
3.3412e+00 5.7931e-05 4.3402e-06
3.3531e+00 8.6735e-05 4.6587e-06
3.3650e+00 1.1682e-04 4.6930e-06
3.3769e+00 1.2505e-04 4.7761e-06
3.3887e+00 1.1684e-04 4.7967e-06
3.4005e+00 1.1219e-04 4.7894e-06
3.4122e+00 1.1815e-04 4.7667e-06
3.4239e+00 1.2120e-04 4.8847e-06
3.4348e+00 1.1358e-04 4.8361e-06
3.4464e+00 1.1218e-04 4.8645e-06
3.4579e+00 1.1829e-04 4.9858e-06
3.4695e+00 1.2265e-04 5.0360e-06
3.4810e+00 1.3263e-04 5.0474e-06
3.4924e+00 1.4302e-04 5.1313e-06
3.5039e+00 1.5910e-04 5.2445e-06
3.5152e+00 1.6682e-04 5.3224e-06
3.5266e+00 1.8708e-04 5.5603e-06
3.5379e+00 1.8719e-04 5.6483e-06
3.5492e+00 2.0081e-04 5.7149e-06
3.5604e+00 2.2790e-04 5.8538e-06
3.5716e+00 2.4724e-04 6.2777e-06
