# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5401e-01 1.3578e-05 9.7347e-07
9.6728e-01 1.9978e-05 9.7891e-07
9.8087e-01 2.8635e-05 1.0431e-06
9.9480e-01 4.4540e-05 1.0993e-06
1.0091e+00 6.4723e-05 1.1590e-06
1.0237e+00 8.8603e-05 1.2833e-06
1.0386e+00 1.2130e-04 1.4204e-06
1.0538e+00 1.5225e-04 1.5435e-06
1.0694e+00 1.7649e-04 1.6284e-06
1.0853e+00 1.6450e-04 1.5602e-06
1.1015e+00 8.5237e-05 1.1862e-06
1.1181e+00 3.3587e-05 8.8936e-07
1.1349e+00 1.7379e-05 7.7676e-07
1.1520e+00 1.5299e-05 7.4959e-07
1.1694e+00 1.7513e-05 7.5344e-07
1.1871e+00 3.9782e-05 8.7716e-07
1.2050e+00 8.9832e-05 1.1249e-06
1.2232e+00 1.5200e-04 1.4359e-06
1.2416e+00 2.4626e-04 1.7365e-06
1.2602e+00 3.2167e-04 1.9489e-06
1.2790e+00 3.4783e-04 2.0405e-06
1.2980e+00 2.6287e-04 1.7740e-06
1.3172e+00 1.5776e-04 1.3865e-06
1.3365e+00 5.5929e-05 1.0100e-06
1.3560e+00 1.0349e-05 7.5639e-07
1.3756e+00 2.6120e-06 7.6746e-07
1.3953e+00 1.8915e-06 7.8643e-07
1.4151e+00 2.8735e-06 7.8343e-07
1.4349e+00 6.9575e-06 8.0532e-07
1.4549e+00 1.3002e-05 8.5683e-07
1.4749e+00 2.1850e-05 9.1917e-07
1.4949e+00 3.7693e-05 1.0511e-06
1.5149e+00 6.7700e-05 1.1909e-06
1.5350e+00 1.2523e-04 1.4832e-06
1.5551e+00 2.0221e-04 1.7856e-06
1.5751e+00 2.6262e-04 2.0038e-06
1.5952e+00 2.3996e-04 1.9451e-06
1.6152e+00 1.2141e-04 1.5538e-06
1.6352e+00 5.0346e-05 1.2909e-06
1.6551e+00 3.8615e-05 1.2269e-06
1.6750e+00 3.3066e-05 1.2295e-06
1.6948e+00 3.1570e-05 1.2029e-06
1.7146e+00 3.0383e-05 1.2757e-06
1.7343e+00 3.3297e-05 1.2952e-06
1.7540e+00 3.1616e-05 1.3095e-06
1.7735e+00 2.7001e-05 1.3005e-06
1.7930e+00 2.2524e-05 1.2809e-06
1.8124e+00 1.7700e-05 1.3001e-06
1.8304e+00 1.4230e-05 1.2735e-06
1.8497e+00 1.3093e-05 1.2729e-06
1.8688e+00 1.4061e-05 1.2891e-06
1.8879e+00 2.4403e-05 1.3895e-06
1.9068e+00 2.7970e-05 1.4252e-06
1.9257e+00 2.5774e-05 1.4307e-06
1.9444e+00 2.3372e-05 1.4315e-06
1.9631e+00 2.8043e-05 1.4739e-06
1.9817e+00 4.0105e-05 1.5635e-06
2.0001e+00 6.2045e-05 1.7106e-06
2.0185e+00 8.5131e-05 1.8467e-06
2.0368e+00 1.1095e-04 1.9770e-06
2.0549e+00 1.3271e-04 2.1182e-06
2.0730e+00 1.4880e-04 2.1856e-06
2.0909e+00 1.5605e-04 2.2110e-06
2.1088e+00 1.4933e-04 2.2137e-06
2.1265e+00 1.2635e-04 2.1275e-06
2.1442e+00 1.0056e-04 2.0074e-06
2.1618e+00 7.7875e-05 1.9750e-06
2.1792e+00 5.8457e-05 1.8462e-06
2.1966e+00 3.0283e-05 1.7308e-06
2.2138e+00 1.4576e-05 1.6746e-06
2.2310e+00 1.1481e-05 1.7459e-06
2.2481e+00 8.7463e-06 1.6656e-06
2.2650e+00 4.3437e-06 1.6339e-06
2.2819e+00 6.1910e-06 1.6732e-06
2.2987e+00 5.3154e-06 1.6701e-06
2.3154e+00 6.7234e-06 1.6747e-06
2.3319e+00 5.2107e-06 1.6767e-06
2.3484e+00 3.5814e-06 1.6740e-06
2.3649e+00 3.9806e-06 1.7213e-06
2.3812e+00 4.8101e-06 1.7134e-06
2.3974e+00 6.9566e-06 1.7351e-06
2.4135e+00 1.2229e-05 1.7834e-06
2.4296e+00 1.3574e-05 1.7977e-06
2.4456e+00 1.6442e-05 1.8256e-06
2.4615e+00 2.0697e-05 1.8848e-06
2.4773e+00 2.2864e-05 1.9347e-06
2.4930e+00 2.6099e-05 1.9255e-06
2.5086e+00 2.4635e-05 1.9864e-06
2.5241e+00 1.7632e-05 1.8704e-06
2.5396e+00 1.5956e-05 1.8273e-06
2.5550e+00 1.1280e-05 1.8571e-06
2.5703e+00 7.2595e-06 1.8559e-06
