# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5716e-01 5.7490e-06 9.2522e-07
9.7049e-01 9.1113e-06 9.0719e-07
9.8415e-01 1.2035e-05 9.3883e-07
9.9814e-01 1.8016e-05 9.5575e-07
1.0125e+00 2.6441e-05 9.5265e-07
1.0271e+00 3.7831e-05 9.9428e-07
1.0421e+00 5.4450e-05 1.0594e-06
1.0574e+00 6.9360e-05 1.1327e-06
1.0730e+00 7.4333e-05 1.1225e-06
1.0890e+00 6.4823e-05 1.0604e-06
1.1053e+00 3.1049e-05 8.6876e-07
1.1218e+00 1.0368e-05 7.3582e-07
1.1387e+00 6.3577e-06 6.9463e-07
1.1559e+00 6.5873e-06 6.9207e-07
1.1733e+00 8.9633e-06 6.9572e-07
1.1910e+00 2.2955e-05 7.7615e-07
1.2090e+00 5.0828e-05 9.2276e-07
1.2272e+00 8.9385e-05 1.1215e-06
1.2456e+00 1.4340e-04 1.3374e-06
1.2643e+00 1.8207e-04 1.4701e-06
1.2831e+00 1.7111e-04 1.4328e-06
1.3021e+00 1.1688e-04 1.2287e-06
1.3213e+00 5.9922e-05 9.9099e-07
1.3406e+00 1.6087e-05 8.1077e-07
1.3601e+00 2.4970e-06 7.1777e-07
1.3797e+00 1.1602e-06 7.4679e-07
1.3994e+00 -6.4260e-07 7.5642e-07
1.4192e+00 1.9000e-07 7.6461e-07
1.4391e+00 2.7189e-06 7.8538e-07
1.4590e+00 7.3113e-06 8.1492e-07
1.4790e+00 1.1426e-05 8.7513e-07
1.4990e+00 1.8924e-05 9.5190e-07
1.5190e+00 3.7623e-05 1.0638e-06
1.5391e+00 7.3587e-05 1.2679e-06
1.5591e+00 1.1859e-04 1.4657e-06
1.5791e+00 1.4741e-04 1.6134e-06
1.5992e+00 1.1421e-04 1.4940e-06
1.6191e+00 4.6703e-05 1.2070e-06
1.6391e+00 1.8427e-05 1.1141e-06
1.6590e+00 1.5721e-05 1.1075e-06
1.6789e+00 1.4792e-05 1.1295e-06
1.6987e+00 1.1550e-05 1.0881e-06
1.7184e+00 1.3234e-05 1.1490e-06
1.7381e+00 1.4709e-05 1.1671e-06
1.7577e+00 1.3924e-05 1.1696e-06
1.7772e+00 9.8487e-06 1.2115e-06
1.7967e+00 4.8320e-06 1.1763e-06
1.8160e+00 5.2785e-06 1.1837e-06
1.8353e+00 4.7515e-06 1.2115e-06
1.8545e+00 3.3822e-06 1.2142e-06
1.8736e+00 5.6314e-06 1.2388e-06
1.8926e+00 8.2235e-06 1.2928e-06
1.9115e+00 9.1026e-06 1.3053e-06
1.9303e+00 6.1503e-06 1.3192e-06
