# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5312e-01 5.6358e-05 1.4951e-06
9.6636e-01 7.7294e-05 1.5503e-06
9.7993e-01 1.0655e-04 1.7076e-06
9.9383e-01 1.4004e-04 1.8726e-06
1.0081e+00 1.8088e-04 2.0131e-06
1.0226e+00 2.3340e-04 2.2195e-06
1.0375e+00 2.9356e-04 2.4775e-06
1.0528e+00 3.6016e-04 2.6968e-06
1.0683e+00 4.1084e-04 2.9340e-06
1.0842e+00 3.9495e-04 2.8227e-06
1.1004e+00 2.5546e-04 2.2045e-06
1.1169e+00 1.4047e-04 1.6244e-06
1.1337e+00 1.0884e-04 1.4377e-06
1.1508e+00 1.0056e-04 1.3648e-06
1.1682e+00 1.1963e-04 1.4499e-06
1.1858e+00 2.1317e-04 1.8504e-06
1.2037e+00 3.6173e-04 2.4137e-06
1.2219e+00 5.4072e-04 3.1425e-06
1.2403e+00 6.7460e-04 3.5565e-06
1.2589e+00 8.5024e-04 3.9771e-06
1.2777e+00 9.0288e-04 4.0867e-06
1.2967e+00 7.9922e-04 3.7068e-06
1.3158e+00 5.3539e-04 2.8938e-06
1.3352e+00 2.0538e-04 1.8092e-06
1.3546e+00 3.5445e-05 1.1927e-06
1.3742e+00 1.6947e-05 1.0332e-06
1.3939e+00 1.6870e-05 1.0900e-06
1.4137e+00 1.8323e-05 1.1238e-06
1.4336e+00 3.1924e-05 1.2159e-06
1.4535e+00 5.8706e-05 1.3363e-06
1.4735e+00 8.5808e-05 1.4702e-06
1.4922e+00 1.3160e-04 1.7109e-06
1.5122e+00 2.1272e-04 2.0824e-06
1.5323e+00 3.4994e-04 2.5817e-06
1.5523e+00 5.1439e-04 3.0942e-06
1.5724e+00 6.3910e-04 3.4223e-06
1.5925e+00 5.9241e-04 3.2963e-06
1.6125e+00 3.6214e-04 2.6901e-06
1.6325e+00 2.1313e-04 2.2613e-06
1.6524e+00 1.8959e-04 2.2484e-06
1.6723e+00 1.6630e-04 2.1949e-06
1.6922e+00 1.6423e-04 2.2039e-06
1.7120e+00 1.6663e-04 2.2511e-06
1.7317e+00 1.6409e-04 2.2882e-06
1.7514e+00 1.4209e-04 2.2340e-06
1.7709e+00 1.1115e-04 2.1025e-06
1.7904e+00 7.9642e-05 1.9495e-06
1.8099e+00 5.9052e-05 1.8718e-06
1.8292e+00 5.9509e-05 1.8764e-06
1.8484e+00 4.9945e-05 1.8510e-06
1.8676e+00 5.5870e-05 1.9259e-06
1.8867e+00 8.4721e-05 2.0854e-06
1.9056e+00 9.9067e-05 2.1704e-06
1.9245e+00 9.4064e-05 2.1665e-06
1.9433e+00 8.3089e-05 2.1636e-06
1.9619e+00 9.4503e-05 2.2995e-06
1.9805e+00 1.2800e-04 2.4914e-06
1.9990e+00 1.7018e-04 2.6621e-06
2.0174e+00 2.3265e-04 2.9602e-06
2.0356e+00 2.9009e-04 3.2003e-06
2.0538e+00 3.4750e-04 3.4400e-06
2.0719e+00 3.9064e-04 3.6228e-06
2.0898e+00 4.0562e-04 3.6480e-06
2.1077e+00 3.9549e-04 3.6141e-06
2.1255e+00 3.6100e-04 3.5164e-06
2.1431e+00 3.1227e-04 3.3816e-06
2.1607e+00 2.5051e-04 3.1636e-06
2.1782e+00 2.0080e-04 3.0222e-06
2.1955e+00 1.1207e-04 2.6096e-06
2.2128e+00 6.4792e-05 2.4344e-06
2.2300e+00 5.6296e-05 2.4444e-06
2.2471e+00 4.1539e-05 2.4218e-06
2.2640e+00 3.2305e-05 2.3174e-06
2.2809e+00 3.0746e-05 2.3024e-06
2.2977e+00 3.3795e-05 2.3327e-06
2.3144e+00 3.0019e-05 2.3029e-06
2.3310e+00 2.5215e-05 2.2875e-06
2.3475e+00 2.3359e-05 2.2903e-06
2.3639e+00 2.4520e-05 2.3443e-06
2.3803e+00 2.2661e-05 2.3938e-06
2.3965e+00 3.9030e-05 2.4889e-06
2.4127e+00 5.4334e-05 2.5088e-06
2.4287e+00 5.4999e-05 2.5703e-06
2.4447e+00 5.9420e-05 2.6407e-06
2.4606e+00 6.7264e-05 2.6543e-06
2.4764e+00 7.1955e-05 2.6848e-06
2.4921e+00 7.3837e-05 2.7246e-06
2.5078e+00 6.4794e-05 2.6898e-06
2.5233e+00 4.9861e-05 2.6580e-06
2.5388e+00 4.4032e-05 2.5778e-06
2.5542e+00 3.7085e-05 2.5274e-06
2.5695e+00 3.3403e-05 2.5586e-06
2.5848e+00 3.3540e-05 2.5806e-06
2.5999e+00 4.0800e-05 2.6454e-06
2.6150e+00 4.9799e-05 2.7503e-06
2.6300e+00 6.3890e-05 2.8677e-06
2.6450e+00 6.9307e-05 2.9604e-06
2.6598e+00 5.5502e-05 2.9376e-06
2.6746e+00 3.4905e-05 2.8074e-06
2.6893e+00 3.3975e-05 2.7880e-06
2.7040e+00 4.1450e-05 2.8564e-06
2.7185e+00 4.8463e-05 2.9358e-06
2.7330e+00 6.7595e-05 3.1105e-06
2.7475e+00 6.8887e-05 3.1452e-06
2.7618e+00 5.6176e-05 3.0967e-06
2.7761e+00 5.3105e-05 3.1590e-06
2.7904e+00 5.7668e-05 3.2235e-06
2.8045e+00 6.5283e-05 3.2925e-06
2.8186e+00 7.0130e-05 3.4107e-06
2.8327e+00 8.2034e-05 3.6148e-06
2.8467e+00 7.5184e-05 3.5172e-06
2.8606e+00 8.1752e-05 3.5098e-06
2.8744e+00 1.0001e-04 3.6757e-06
2.8882e+00 1.0623e-04 3.7823e-06
2.9019e+00 1.1235e-04 3.7411e-06
2.9156e+00 1.3040e-04 3.8473e-06
2.9292e+00 1.5763e-04 4.0511e-06
2.9427e+00 1.7025e-04 4.1128e-06
2.9562e+00 1.6172e-04 4.0538e-06
2.9697e+00 1.6599e-04 4.1334e-06
2.9830e+00 1.8622e-04 4.2715e-06
2.9963e+00 1.9429e-04 4.3636e-06
3.0096e+00 1.9404e-04 4.4316e-06
3.0228e+00 2.1478e-04 4.5025e-06
3.0360e+00 2.1026e-04 4.4765e-06
3.0491e+00 1.9964e-04 4.3916e-06
3.0621e+00 1.7604e-04 4.3254e-06
3.0751e+00 1.5184e-04 4.2917e-06
3.0880e+00 1.3277e-04 4.0941e-06
3.1009e+00 1.1411e-04 4.1383e-06
3.1138e+00 9.8549e-05 4.0816e-06
3.1265e+00 8.2183e-05 3.9929e-06
3.1393e+00 6.2185e-05 3.8498e-06
3.1520e+00 4.4674e-05 3.8551e-06
3.1646e+00 4.1124e-05 3.8185e-06
3.1772e+00 3.7818e-05 3.8196e-06
3.1897e+00 3.4988e-05 3.9582e-06
3.2022e+00 2.6134e-05 3.8700e-06
3.2146e+00 2.9046e-05 3.8420e-06
3.2270e+00 3.2052e-05 3.8682e-06
3.2394e+00 3.3645e-05 3.9608e-06
3.2517e+00 4.1524e-05 3.9416e-06
3.2640e+00 4.4470e-05 4.0056e-06
3.2754e+00 5.6777e-05 4.1423e-06
3.2875e+00 7.0617e-05 4.2461e-06
3.2997e+00 6.1481e-05 4.2244e-06
3.3117e+00 4.2786e-05 4.0687e-06
3.3238e+00 2.3889e-05 4.0669e-06
3.3358e+00 2.5223e-05 4.1414e-06
3.3477e+00 2.5836e-05 4.2457e-06
3.3596e+00 3.7958e-05 4.2411e-06
3.3715e+00 4.1891e-05 4.3657e-06
3.3834e+00 4.8969e-05 4.4140e-06
3.3951e+00 4.9134e-05 4.3969e-06
3.4069e+00 4.8433e-05 4.3253e-06
3.4186e+00 4.8667e-05 4.4501e-06
3.4303e+00 4.5392e-05 4.3769e-06
3.4419e+00 5.1120e-05 4.4694e-06
3.4535e+00 4.5953e-05 4.5145e-06
3.4650e+00 4.5999e-05 4.6849e-06
3.4766e+00 4.9703e-05 4.5930e-06
3.4880e+00 6.2124e-05 4.8004e-06
3.4995e+00 6.4335e-05 4.7256e-06
3.5109e+00 6.6252e-05 4.7899e-06
3.5222e+00 7.7054e-05 4.9244e-06
3.5336e+00 7.8370e-05 5.0831e-06
3.5448e+00 8.5117e-05 5.1204e-06
3.5561e+00 9.4682e-05 5.0878e-06
3.5673e+00 1.0532e-04 5.3099e-06
3.5785e+00 1.1184e-04 5.3627e-06
3.5897e+00 1.0723e-04 5.4323e-06
3.6008e+00 1.2103e-04 5.6217e-06
3.6118e+00 1.1985e-04 5.7369e-06
3.6229e+00 1.3454e-04 5.8529e-06
3.6339e+00 1.6087e-04 5.9602e-06
3.6449e+00 1.7919e-04 5.9328e-06
3.6558e+00 2.0336e-04 6.0038e-06
3.6667e+00 2.2891e-04 6.0751e-06
3.6776e+00 2.4153e-04 6.2444e-06
3.6884e+00 2.5231e-04 6.3406e-06
3.6993e+00 2.6277e-04 6.4111e-06
3.7100e+00 2.7640e-04 6.5124e-06
3.7208e+00 2.9394e-04 6.6230e-06
3.7315e+00 2.9322e-04 6.6425e-06
3.7422e+00 3.1001e-04 6.8481e-06
3.7528e+00 3.4445e-04 7.0111e-06
3.7635e+00 3.5910e-04 7.1092e-06
3.7741e+00 3.5877e-04 7.2413e-06
3.7846e+00 3.5078e-04 7.3973e-06
3.7951e+00 3.8012e-04 7.8256e-06
3.8056e+00 4.3014e-04 7.7740e-06
3.8161e+00 4.5444e-04 7.8918e-06
3.8266e+00 4.9155e-04 8.1010e-06
3.8370e+00 4.8345e-04 7.9683e-06
3.8474e+00 4.4776e-04 7.8216e-06
3.8577e+00 4.6699e-04 7.9495e-06
3.8680e+00 4.9140e-04 8.2184e-06
3.8783e+00 5.0897e-04 8.3618e-06
3.8886e+00 5.2792e-04 8.3780e-06
3.8989e+00 5.3706e-04 8.5149e-06
3.9091e+00 5.5384e-04 8.5985e-06
3.9193e+00 5.7737e-04 8.7311e-06
3.9294e+00 5.9721e-04 8.8878e-06
3.9396e+00 6.3473e-04 9.1029e-06
3.9497e+00 6.4525e-04 8.9289e-06
3.9597e+00 6.4670e-04 9.1060e-06
3.9698e+00 6.5849e-04 9.1591e-06
3.9798e+00 6.7290e-04 9.5207e-06
3.9898e+00 7.1331e-04 9.6851e-06
3.9998e+00 7.3505e-04 9.7599e-06
4.0097e+00 7.2781e-04 9.7204e-06
4.0197e+00 7.6594e-04 9.9399e-06
4.0296e+00 7.5463e-04 9.8769e-06
4.0394e+00 7.6859e-04 1.0127e-05
4.0493e+00 8.1177e-04 1.0344e-05
4.0591e+00 8.5370e-04 1.0447e-05
4.0689e+00 8.4753e-04 1.0449e-05
4.0787e+00 8.3411e-04 1.0407e-05
4.0884e+00 8.7153e-04 1.0733e-05
4.0981e+00 8.9626e-04 1.0986e-05
4.1078e+00 8.6565e-04 1.0888e-05
4.1175e+00 8.6742e-04 1.0968e-05
4.1272e+00 8.8642e-04 1.1018e-05
4.1368e+00 8.8088e-04 1.0991e-05
4.1464e+00 8.3735e-04 1.1096e-05
4.1560e+00 8.0915e-04 1.1040e-05
4.1655e+00 8.2889e-04 1.1002e-05
4.1751e+00 7.8824e-04 1.0934e-05
4.1846e+00 6.8956e-04 1.0514e-05
4.1941e+00 5.7135e-04 1.0044e-05
4.2035e+00 5.1395e-04 9.8263e-06
4.2130e+00 4.4569e-04 9.7226e-06
4.2224e+00 3.6984e-04 9.4175e-06
4.2318e+00 3.3397e-04 9.1321e-06
4.2412e+00 3.3906e-04 9.0967e-06
4.2506e+00 3.4039e-04 9.1768e-06
4.2599e+00 3.5205e-04 9.2553e-06
4.2692e+00 3.3983e-04 9.1011e-06
4.2785e+00 3.5137e-04 9.4595e-06
4.2878e+00 3.8265e-04 9.5925e-06
4.2970e+00 3.7741e-04 9.5602e-06
4.3062e+00 3.5772e-04 9.4436e-06
4.3155e+00 3.6907e-04 9.5284e-06
4.3246e+00 3.6594e-04 9.6058e-06
4.3338e+00 3.5564e-04 9.6763e-06
4.3430e+00 3.7457e-04 9.6881e-06
4.3521e+00 3.8023e-04 9.7620e-06
4.3612e+00 4.1915e-04 1.0001e-05
4.3703e+00 4.3391e-04 1.0349e-05
4.3793e+00 4.3897e-04 1.0481e-05
4.3884e+00 4.3962e-04 1.0446e-05
4.3974e+00 4.2269e-04 1.0629e-05
4.4064e+00 4.4553e-04 1.0737e-05
4.4154e+00 4.6839e-04 1.0697e-05
4.4244e+00 4.5636e-04 1.0662e-05
4.4333e+00 3.8947e-04 1.0345e-05
4.4422e+00 3.9261e-04 1.0446e-05
4.4511e+00 3.8180e-04 1.0351e-05
4.4600e+00 3.6664e-04 1.0476e-05
4.4689e+00 3.2400e-04 1.0248e-05
4.4778e+00 3.2839e-04 1.0385e-05
4.4866e+00 3.0828e-04 1.0526e-05
4.4954e+00 3.0181e-04 1.0755e-05
4.5042e+00 2.8512e-04 1.0339e-05
4.5130e+00 2.6612e-04 1.0179e-05
4.5217e+00 2.5313e-04 1.0462e-05
4.5305e+00 2.4030e-04 1.0186e-05
4.5392e+00 2.3652e-04 1.0189e-05
4.5479e+00 2.3364e-04 1.0243e-05
4.5566e+00 2.2114e-04 1.0239e-05
4.5653e+00 2.1848e-04 1.0456e-05
4.5739e+00 2.3376e-04 1.0530e-05
4.5826e+00 2.2313e-04 1.0399e-05
