# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5620e-01 3.0197e-06 8.7958e-07
9.6951e-01 3.9113e-06 8.4683e-07
9.8315e-01 7.0943e-06 8.7108e-07
9.9712e-01 1.0893e-05 8.9289e-07
1.0114e+00 1.7248e-05 9.0472e-07
1.0260e+00 2.2660e-05 9.0954e-07
1.0410e+00 3.0960e-05 9.3863e-07
1.0563e+00 3.6526e-05 9.4436e-07
1.0719e+00 3.8327e-05 9.3953e-07
1.0878e+00 3.3184e-05 9.0893e-07
1.1041e+00 1.5705e-05 8.0176e-07
1.1206e+00 4.2807e-06 6.9264e-07
1.1375e+00 1.8640e-06 6.9378e-07
1.1546e+00 1.7374e-06 6.9548e-07
1.1721e+00 3.5753e-06 6.8016e-07
1.1897e+00 9.1318e-06 6.9719e-07
1.2077e+00 1.9787e-05 7.7557e-07
1.2259e+00 3.5264e-05 8.5193e-07
1.2443e+00 5.7517e-05 9.4913e-07
1.2629e+00 7.9233e-05 1.0397e-06
1.2817e+00 7.9554e-05 1.0675e-06
1.3007e+00 5.3527e-05 9.5967e-07
1.3199e+00 2.9821e-05 8.6120e-07
1.3393e+00 9.4552e-06 7.6752e-07
1.3587e+00 2.6664e-06 7.2784e-07
1.3783e+00 1.4316e-06 7.4356e-07
1.3980e+00 1.8701e-07 7.7362e-07
1.4178e+00 7.2711e-07 7.8637e-07
1.4376e+00 1.9633e-06 7.9315e-07
1.4575e+00 2.8149e-06 7.9415e-07
1.4775e+00 3.1544e-06 8.2114e-07
1.4975e+00 4.6146e-06 8.5555e-07
1.5175e+00 9.4111e-06 9.1699e-07
1.5376e+00 2.5351e-05 1.0361e-06
1.5576e+00 4.7665e-05 1.1647e-06
1.5777e+00 6.6767e-05 1.2943e-06
1.5977e+00 6.1461e-05 1.2645e-06
1.6177e+00 3.0297e-05 1.1316e-06
1.6376e+00 1.1525e-05 1.1042e-06
1.6575e+00 7.1887e-06 1.0719e-06
1.6774e+00 6.2392e-06 1.0901e-06
1.6972e+00 5.4569e-06 1.0818e-06
1.7170e+00 5.9531e-06 1.0969e-06
1.7366e+00 6.8785e-06 1.1043e-06
1.7562e+00 6.3006e-06 1.1369e-06
1.7758e+00 2.6295e-06 1.1378e-06
1.7952e+00 1.6542e-06 1.1655e-06
1.8146e+00 2.3093e-06 1.1791e-06
1.8339e+00 1.3097e-06 1.1874e-06
1.8531e+00 6.5743e-07 1.1802e-06
1.8722e+00 1.5138e-06 1.2203e-06
1.8912e+00 -6.2316e-07 1.2541e-06
1.9101e+00 1.3335e-06 1.2626e-06
1.9289e+00 9.3510e-07 1.3069e-06
1.9476e+00 2.3211e-06 1.3158e-06
1.9663e+00 4.1277e-06 1.3310e-06
1.9848e+00 4.5383e-06 1.3108e-06
2.0032e+00 6.4954e-06 1.3641e-06
2.0215e+00 8.2600e-06 1.3891e-06
2.0397e+00 1.0005e-05 1.4121e-06
2.0579e+00 1.0514e-05 1.4260e-06
2.0759e+00 1.3604e-05 1.4491e-06
2.0938e+00 1.2873e-05 1.4804e-06
2.1116e+00 1.3102e-05 1.5046e-06
2.1293e+00 1.1787e-05 1.4796e-06
2.1469e+00 1.2096e-05 1.4972e-06
2.1644e+00 1.1478e-05 1.5154e-06
2.1819e+00 4.4581e-06 1.5153e-06
2.1992e+00 4.2723e-06 1.5727e-06
2.2164e+00 1.3209e-06 1.5837e-06
2.2335e+00 -2.5314e-07 1.6252e-06
2.2505e+00 -8.8264e-08 1.5875e-06
2.2675e+00 -5.5862e-07 1.6304e-06
2.2843e+00 1.0815e-06 1.6017e-06
2.3011e+00 6.5321e-07 1.5884e-06
2.3177e+00 9.5170e-07 1.6035e-06
2.3331e+00 -5.5903e-07 1.6081e-06
2.3496e+00 -4.9909e-07 1.6624e-06
2.3660e+00 -1.3654e-06 1.6529e-06
2.3823e+00 -2.8341e-07 1.6892e-06
2.3985e+00 1.9878e-06 1.6679e-06
2.4146e+00 2.1626e-06 1.7399e-06
2.4306e+00 4.4297e-06 1.7436e-06
2.4466e+00 5.1561e-06 1.7735e-06
2.4624e+00 4.8127e-06 1.7539e-06
2.4782e+00 5.9879e-06 1.7962e-06
2.4939e+00 5.7656e-06 1.7898e-06
2.5095e+00 3.9551e-06 1.7999e-06
2.5250e+00 3.7447e-06 1.7808e-06
2.5404e+00 2.5418e-06 1.8455e-06
2.5558e+00 2.4595e-06 1.8197e-06
2.5711e+00 1.9346e-06 1.8226e-06
2.5863e+00 1.1786e-06 1.8125e-06
2.6014e+00 1.3554e-06 1.8225e-06
2.6164e+00 7.6574e-07 1.8932e-06
2.6314e+00 3.4610e-06 1.9580e-06
2.6463e+00 3.0291e-06 1.9555e-06
2.6611e+00 4.8528e-06 1.9918e-06
2.6759e+00 1.7840e-06 1.9811e-06
2.6906e+00 7.0403e-07 1.9500e-06
2.7052e+00 1.6453e-06 2.0011e-06
2.7197e+00 -4.7954e-07 2.0797e-06
2.7342e+00 1.7940e-06 2.1724e-06
2.7486e+00 3.5606e-06 2.2263e-06
2.7629e+00 3.1556e-06 2.2122e-06
2.7772e+00 2.5876e-06 2.1312e-06
2.7914e+00 1.7664e-07 2.2240e-06
2.8055e+00 5.0289e-06 2.2854e-06
2.8196e+00 3.6291e-06 2.2593e-06
2.8336e+00 6.1706e-06 2.2718e-06
2.8475e+00 3.3178e-06 2.2709e-06
2.8614e+00 3.4587e-06 2.3552e-06
2.8752e+00 6.4492e-06 2.3876e-06
2.8890e+00 1.2412e-05 2.4187e-06
2.9027e+00 1.2139e-05 2.4667e-06
2.9163e+00 1.1472e-05 2.5193e-06
2.9299e+00 1.0950e-05 2.4994e-06
2.9434e+00 1.5006e-05 2.5656e-06
2.9568e+00 1.8654e-05 2.6147e-06
2.9702e+00 1.6286e-05 2.5647e-06
2.9836e+00 2.2364e-05 2.6182e-06
2.9969e+00 2.2597e-05 2.7177e-06
3.0101e+00 1.9032e-05 2.6750e-06
3.0233e+00 2.8858e-05 2.7139e-06
3.0364e+00 2.9230e-05 2.6723e-06
3.0495e+00 2.8586e-05 2.7285e-06
3.0625e+00 3.4223e-05 2.7487e-06
3.0754e+00 3.0720e-05 2.7814e-06
3.0883e+00 2.0719e-05 2.8471e-06
3.1012e+00 1.6052e-05 2.7884e-06
3.1140e+00 1.7109e-05 2.7894e-06
3.1268e+00 1.6357e-05 2.7858e-06
3.1395e+00 1.0669e-05 2.8235e-06
3.1521e+00 1.0657e-05 2.8240e-06
3.1647e+00 5.0669e-06 2.7591e-06
3.1773e+00 3.7427e-06 2.8929e-06
3.1898e+00 3.7834e-06 2.8562e-06
3.2023e+00 2.0666e-06 2.8458e-06
3.2147e+00 -1.2529e-06 2.8186e-06
3.2270e+00 -1.4754e-06 2.8745e-06
3.2394e+00 1.8383e-06 2.9386e-06
3.2516e+00 1.0975e-06 2.9515e-06
3.2639e+00 3.6448e-06 2.9329e-06
3.2761e+00 4.9130e-06 2.8936e-06
3.2882e+00 8.8866e-06 2.9837e-06
3.3003e+00 6.6532e-06 3.0286e-06
3.3123e+00 2.9121e-06 3.0590e-06
3.3244e+00 -1.5357e-06 3.1010e-06
3.3363e+00 4.9038e-06 3.1559e-06
3.3483e+00 4.1959e-06 3.0578e-06
3.3601e+00 5.9127e-06 3.1386e-06
3.3720e+00 5.6863e-06 3.2704e-06
3.3838e+00 9.5155e-07 3.1881e-06
3.3955e+00 2.6783e-06 3.2340e-06
3.4073e+00 8.2710e-06 3.3778e-06
3.4189e+00 7.8738e-06 3.3647e-06
3.4306e+00 -1.6119e-06 3.4680e-06
3.4422e+00 2.1492e-06 3.3117e-06
3.4537e+00 4.4947e-06 3.3591e-06
3.4653e+00 5.9830e-06 3.3216e-06
3.4768e+00 5.0029e-06 3.3721e-06
3.4882e+00 5.0995e-06 3.3543e-06
3.4996e+00 1.5246e-06 3.4797e-06
3.5110e+00 7.1606e-06 3.5029e-06
3.5223e+00 1.2207e-05 3.5185e-06
3.5336e+00 1.4173e-05 3.5384e-06
3.5449e+00 1.2591e-05 3.5566e-06
3.5561e+00 1.1811e-05 3.8926e-06
3.5673e+00 1.3697e-05 3.8358e-06
3.5784e+00 1.5439e-05 3.6080e-06
