# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5181e-01 9.1938e-06 1.2411e-06
9.6500e-01 1.5189e-05 1.2356e-06
9.7853e-01 2.2631e-05 1.2273e-06
9.9238e-01 3.6640e-05 1.3060e-06
1.0066e+00 5.8616e-05 1.3847e-06
1.0211e+00 8.4430e-05 1.4829e-06
1.0359e+00 1.1412e-04 1.6210e-06
1.0511e+00 1.4870e-04 1.7509e-06
1.0666e+00 1.6719e-04 1.8229e-06
1.0824e+00 1.4611e-04 1.6855e-06
1.0986e+00 7.4540e-05 1.3149e-06
1.1150e+00 2.0701e-05 1.0129e-06
1.1318e+00 8.0392e-06 9.1117e-07
1.1488e+00 6.0151e-06 8.8982e-07
1.1662e+00 7.8385e-06 9.1489e-07
1.1838e+00 2.4608e-05 9.8158e-07
1.2016e+00 6.6457e-05 1.2016e-06
1.2197e+00 1.3200e-04 1.5234e-06
1.2381e+00 2.2281e-04 1.9039e-06
1.2566e+00 3.2305e-04 2.2353e-06
1.2754e+00 3.1773e-04 2.1975e-06
1.2943e+00 2.2019e-04 1.8385e-06
1.3135e+00 1.1513e-04 1.4357e-06
1.3327e+00 3.9121e-05 1.1171e-06
1.3522e+00 5.8422e-06 9.8270e-07
1.3717e+00 2.7339e-06 9.3388e-07
1.3914e+00 2.0919e-06 1.0052e-06
1.4111e+00 3.1637e-06 1.0241e-06
1.4309e+00 1.5478e-06 1.0207e-06
1.4508e+00 7.0881e-06 1.0872e-06
1.4708e+00 1.1264e-05 1.1127e-06
1.4908e+00 2.1594e-05 1.2078e-06
1.5108e+00 4.6327e-05 1.3607e-06
1.5309e+00 9.6823e-05 1.6105e-06
1.5509e+00 1.8451e-04 1.9838e-06
1.5709e+00 2.7027e-04 2.3181e-06
1.5910e+00 2.5006e-04 2.2859e-06
1.6110e+00 1.1265e-04 1.7840e-06
1.6309e+00 3.7404e-05 1.4559e-06
1.6509e+00 2.5565e-05 1.4682e-06
1.6708e+00 2.2049e-05 1.4453e-06
1.6906e+00 1.7771e-05 1.4777e-06
1.7104e+00 1.7293e-05 1.4862e-06
1.7301e+00 2.1075e-05 1.5495e-06
1.7497e+00 2.0351e-05 1.5612e-06
1.7693e+00 1.7501e-05 1.5676e-06
1.7887e+00 1.1551e-05 1.5977e-06
1.8081e+00 6.2616e-06 1.6253e-06
1.8275e+00 4.8826e-06 1.5769e-06
1.8467e+00 6.1348e-06 1.5899e-06
1.8658e+00 8.9564e-06 1.6307e-06
1.8849e+00 1.0566e-05 1.7195e-06
1.9038e+00 1.1896e-05 1.7499e-06
1.9227e+00 1.0292e-05 1.7225e-06
1.9414e+00 8.8031e-06 1.7490e-06
1.9601e+00 1.3552e-05 1.7904e-06
1.9786e+00 2.2999e-05 1.8915e-06
1.9971e+00 4.0429e-05 1.9498e-06
2.0154e+00 5.5309e-05 2.0397e-06
2.0337e+00 6.4885e-05 2.1332e-06
2.0519e+00 8.3776e-05 2.2166e-06
2.0699e+00 9.4223e-05 2.3162e-06
2.0879e+00 9.6614e-05 2.3073e-06
2.1057e+00 9.0115e-05 2.3384e-06
2.1235e+00 7.6817e-05 2.2968e-06
2.1411e+00 6.5210e-05 2.2639e-06
2.1587e+00 4.9723e-05 2.1775e-06
2.1761e+00 3.9831e-05 2.1827e-06
2.1935e+00 2.4609e-05 2.0662e-06
2.2107e+00 1.2833e-05 2.0368e-06
2.2279e+00 8.8214e-06 2.0819e-06
2.2449e+00 5.4045e-06 2.1357e-06
2.2619e+00 3.9388e-06 2.0908e-06
2.2788e+00 5.0817e-06 2.1117e-06
2.2956e+00 5.6167e-06 2.1466e-06
2.3122e+00 4.6588e-06 2.0923e-06
2.3288e+00 4.3682e-06 2.1390e-06
2.3442e+00 6.0551e-06 2.1434e-06
2.3606e+00 3.4263e-06 2.1930e-06
2.3769e+00 4.1419e-06 2.2047e-06
2.3932e+00 7.9931e-06 2.2858e-06
2.4093e+00 9.0548e-06 2.2521e-06
2.4254e+00 1.1590e-05 2.3109e-06
2.4413e+00 1.5123e-05 2.3597e-06
2.4572e+00 2.1048e-05 2.4108e-06
2.4730e+00 2.4326e-05 2.4445e-06
2.4887e+00 2.5352e-05 2.4446e-06
2.5044e+00 2.2509e-05 2.4572e-06
2.5199e+00 1.7531e-05 2.5658e-06
2.5354e+00 1.1394e-05 2.3871e-06
