# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5381e-01 -1.7627e-06 1.1704e-06
9.6707e-01 -7.2967e-07 1.1372e-06
9.8065e-01 9.8520e-07 1.1748e-06
9.9457e-01 1.6305e-06 1.1180e-06
1.0088e+00 3.0537e-06 1.0901e-06
1.0234e+00 3.0088e-06 1.0560e-06
1.0383e+00 7.1284e-06 1.0401e-06
1.0536e+00 9.0395e-06 1.0064e-06
1.0692e+00 9.8082e-06 9.8085e-07
1.0850e+00 8.0393e-06 9.6588e-07
1.1013e+00 2.5153e-06 9.1172e-07
1.1178e+00 -3.5990e-08 8.9844e-07
1.1346e+00 7.5237e-07 8.7499e-07
1.1517e+00 6.8372e-07 8.6825e-07
1.1691e+00 -3.8684e-08 8.5581e-07
1.1868e+00 6.8079e-07 8.5251e-07
1.2047e+00 9.6193e-07 8.6347e-07
1.2229e+00 3.0737e-06 8.9179e-07
1.2413e+00 6.9113e-06 8.9989e-07
1.2586e+00 1.1685e-05 8.8081e-07
1.2774e+00 1.2214e-05 9.3253e-07
1.2964e+00 4.3712e-06 9.1045e-07
1.3156e+00 1.1513e-06 8.9271e-07
1.3349e+00 2.2924e-06 9.4148e-07
1.3543e+00 -1.7430e-07 9.2847e-07
1.3739e+00 7.9712e-07 9.8885e-07
1.3936e+00 -4.8821e-07 9.9554e-07
1.4134e+00 -9.0214e-07 9.8999e-07
1.4333e+00 -8.6447e-07 1.0036e-06
1.4532e+00 7.6835e-07 1.0364e-06
1.4732e+00 1.2216e-06 1.0633e-06
1.4932e+00 -5.8894e-08 1.0866e-06
1.5133e+00 6.2368e-07 1.1345e-06
1.5333e+00 1.9407e-06 1.1664e-06
1.5534e+00 3.2106e-06 1.2209e-06
1.5735e+00 8.4508e-06 1.2873e-06
1.5935e+00 7.1376e-06 1.2924e-06
1.6135e+00 4.1123e-06 1.2838e-06
1.6335e+00 -1.5785e-07 1.3358e-06
1.6535e+00 -4.8541e-07 1.3640e-06
1.6734e+00 1.1509e-06 1.4191e-06
1.6932e+00 -8.7818e-07 1.3696e-06
1.7130e+00 -8.3174e-07 1.4122e-06
1.7328e+00 9.0504e-07 1.4446e-06
1.7524e+00 1.9501e-06 1.4708e-06
1.7720e+00 2.9044e-06 1.4859e-06
1.7915e+00 1.4099e-06 1.5192e-06
1.8109e+00 5.7123e-07 1.5268e-06
1.8302e+00 2.0970e-06 1.5947e-06
1.8495e+00 -8.9681e-08 1.5991e-06
1.8686e+00 -1.8362e-06 1.5955e-06
1.8877e+00 -4.6268e-07 1.6315e-06
1.9066e+00 -8.8746e-07 1.6662e-06
1.9255e+00 -1.6505e-06 1.7325e-06
1.9443e+00 3.6467e-07 1.8020e-06
1.9629e+00 2.0645e-06 1.7850e-06
1.9815e+00 1.6938e-06 1.7380e-06
2.0000e+00 1.3910e-06 1.8389e-06
2.0183e+00 1.6509e-06 1.8316e-06
2.0366e+00 1.2412e-06 1.8693e-06
2.0548e+00 6.2494e-07 1.9233e-06
2.0728e+00 5.9869e-06 1.8761e-06
2.0908e+00 4.8188e-06 1.9006e-06
2.1087e+00 4.2049e-06 1.9195e-06
2.1264e+00 3.5045e-06 1.9880e-06
2.1441e+00 2.8674e-06 1.9808e-06
2.1617e+00 1.8966e-06 2.0190e-06
2.1791e+00 -5.2930e-07 2.0597e-06
2.1965e+00 -1.2178e-06 2.0922e-06
2.2137e+00 1.3221e-06 2.0873e-06
2.2309e+00 3.4618e-06 2.2327e-06
2.2480e+00 2.6248e-06 2.1372e-06
2.2650e+00 -7.8852e-07 2.1396e-06
2.2818e+00 -2.3467e-06 2.1175e-06
2.2986e+00 -2.7044e-06 2.1154e-06
2.3153e+00 -1.2181e-06 2.1544e-06
2.3319e+00 -1.5093e-06 2.1462e-06
2.3484e+00 -6.4532e-07 2.1819e-06
2.3648e+00 -2.0292e-06 2.2171e-06
2.3812e+00 -1.7566e-06 2.2602e-06
2.3974e+00 3.1143e-06 2.2682e-06
2.4135e+00 1.6836e-06 2.3236e-06
2.4296e+00 2.5250e-06 2.3481e-06
2.4456e+00 1.4091e-06 2.3476e-06
