# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.5172e-01 -5.6464e-07 1.1582e-06
9.6493e-01 -6.0768e-07 1.1773e-06
9.7847e-01 1.0462e-06 1.1483e-06
9.9234e-01 4.0205e-06 1.1212e-06
1.0065e+00 3.5231e-06 1.0826e-06
1.0211e+00 6.5775e-06 1.0820e-06
1.0359e+00 8.5383e-06 1.0812e-06
1.0511e+00 1.2801e-05 1.0637e-06
1.0667e+00 1.1596e-05 1.0340e-06
1.0825e+00 7.3650e-06 9.8411e-07
1.0987e+00 2.1322e-06 9.2322e-07
1.1151e+00 9.8148e-08 8.9137e-07
1.1319e+00 -1.5609e-06 8.8853e-07
1.1490e+00 1.0974e-07 8.6914e-07
1.1663e+00 1.3850e-06 8.5462e-07
1.1839e+00 3.8750e-07 8.5195e-07
1.2018e+00 -1.0385e-06 8.5951e-07
1.2200e+00 2.6450e-06 8.6910e-07
1.2383e+00 7.7771e-06 8.9864e-07
1.2569e+00 1.3096e-05 9.5061e-07
1.2757e+00 1.2793e-05 9.4289e-07
1.2947e+00 9.2784e-06 9.2446e-07
1.3138e+00 3.9905e-06 8.8081e-07
1.3331e+00 6.2408e-07 9.1967e-07
1.3525e+00 -1.6071e-06 9.3794e-07
1.3721e+00 -6.8454e-07 9.5170e-07
1.3918e+00 4.0080e-09 9.9334e-07
1.4116e+00 1.5684e-06 9.7862e-07
1.4314e+00 3.0491e-07 1.0518e-06
1.4514e+00 -6.1677e-07 1.0784e-06
1.4713e+00 2.7165e-07 1.0880e-06
1.4914e+00 1.4382e-06 1.1114e-06
1.5114e+00 -7.1945e-08 1.1309e-06
1.5315e+00 2.2790e-06 1.1555e-06
1.5515e+00 7.4384e-06 1.2170e-06
1.5716e+00 9.4415e-06 1.2591e-06
1.5917e+00 1.1868e-05 1.3101e-06
1.6117e+00 7.9870e-06 1.3223e-06
1.6317e+00 2.2607e-06 1.3281e-06
1.6516e+00 5.2878e-07 1.3270e-06
1.6702e+00 9.6803e-07 1.3580e-06
1.6900e+00 2.8217e-07 1.4349e-06
1.7098e+00 -6.3094e-07 1.4334e-06
1.7296e+00 3.3329e-06 1.4720e-06
1.7492e+00 2.2337e-06 1.4722e-06
1.7688e+00 1.9354e-06 1.4938e-06
1.7883e+00 1.9722e-06 1.5299e-06
1.8077e+00 -5.9211e-07 1.5866e-06
1.8271e+00 -2.0060e-06 1.5803e-06
1.8463e+00 -1.9135e-06 1.5981e-06
1.8655e+00 -1.7293e-06 1.6080e-06
1.8846e+00 7.6833e-07 1.6244e-06
1.9035e+00 -7.4905e-07 1.6729e-06
1.9224e+00 -1.5270e-06 1.6894e-06
1.9412e+00 3.0628e-07 1.7361e-06
1.9599e+00 2.6163e-06 1.7552e-06
1.9785e+00 1.8960e-06 1.7935e-06
1.9970e+00 1.7853e-06 1.8574e-06
2.0153e+00 1.3560e-06 1.8547e-06
2.0336e+00 5.1094e-06 1.8401e-06
2.0518e+00 4.8909e-06 1.8751e-06
2.0699e+00 3.6245e-06 1.8869e-06
2.0879e+00 2.5535e-06 1.9061e-06
2.1057e+00 3.1388e-06 1.9276e-06
2.1235e+00 2.3719e-06 1.9380e-06
2.1412e+00 2.1080e-06 1.9671e-06
2.1588e+00 3.3493e-06 1.9969e-06
2.1762e+00 1.9355e-06 2.0186e-06
2.1936e+00 -1.2118e-06 2.0244e-06
2.2109e+00 -1.2996e-07 2.0681e-06
2.2281e+00 1.9570e-06 2.0755e-06
2.2452e+00 2.4979e-06 2.1358e-06
2.2621e+00 1.1795e-06 2.1540e-06
2.2790e+00 -1.8623e-06 2.2260e-06
2.2958e+00 1.0252e-07 2.1945e-06
2.3125e+00 3.2692e-06 2.2572e-06
2.3291e+00 1.8166e-06 2.1728e-06
2.3457e+00 -2.0429e-06 2.1705e-06
2.3621e+00 1.3229e-07 2.1924e-06
2.3784e+00 -1.0617e-06 2.2186e-06
2.3947e+00 -1.6467e-06 2.2595e-06
2.4108e+00 -2.2465e-07 2.2693e-06
2.4269e+00 2.8020e-07 2.3070e-06
2.4429e+00 5.1097e-07 2.2726e-06
2.4588e+00 4.4368e-07 2.3191e-06
2.4746e+00 1.9490e-06 2.3417e-06
2.4903e+00 2.7767e-06 2.3639e-06
2.5060e+00 -1.9058e-06 2.3468e-06
2.5215e+00 7.5966e-07 2.3640e-06
2.5370e+00 2.7076e-06 2.3800e-06
2.5524e+00 -6.1869e-07 2.4336e-06
2.5678e+00 -7.7844e-07 2.4721e-06
2.5830e+00 2.0014e-06 2.4888e-06
2.5982e+00 1.9196e-07 2.4802e-06
2.6133e+00 1.9444e-07 2.4701e-06
2.6283e+00 7.0715e-07 2.4689e-06
2.6432e+00 -2.5050e-06 2.5242e-06
2.6581e+00 -3.0024e-06 2.5709e-06
2.6729e+00 7.3740e-08 2.6293e-06
2.6876e+00 2.6436e-06 2.6754e-06
2.7023e+00 6.9821e-07 2.6573e-06
2.7168e+00 -1.7388e-06 2.6975e-06
2.7313e+00 -3.9416e-06 2.6891e-06
2.7458e+00 -1.3366e-06 2.7569e-06
2.7602e+00 -9.4386e-07 2.8602e-06
2.7745e+00 -1.9981e-06 2.8676e-06
2.7887e+00 -1.8913e-06 2.8912e-06
2.8029e+00 7.3457e-07 2.9457e-06
2.8170e+00 -9.6598e-07 2.9192e-06
2.8310e+00 -9.8444e-07 2.9810e-06
2.8450e+00 2.8409e-06 3.0796e-06
2.8589e+00 3.8734e-06 3.1802e-06
2.8728e+00 5.5722e-06 3.2356e-06
2.8866e+00 7.3442e-06 3.1139e-06
2.9003e+00 -1.0495e-06 3.2185e-06
2.9140e+00 -1.1088e-06 3.2638e-06
2.9276e+00 1.0279e-05 3.2698e-06
2.9411e+00 7.7387e-06 3.2463e-06
2.9546e+00 6.2276e-06 3.3153e-06
2.9680e+00 1.0590e-05 3.3239e-06
2.9814e+00 1.5171e-05 3.3404e-06
2.9947e+00 6.6658e-06 3.3336e-06
3.0080e+00 5.2071e-06 3.3416e-06
3.0212e+00 1.3378e-05 3.4319e-06
3.0344e+00 1.8478e-05 3.5721e-06
3.0475e+00 1.6672e-05 3.4987e-06
3.0605e+00 2.4526e-05 3.5228e-06
3.0735e+00 2.6231e-05 3.5479e-06
3.0865e+00 2.1458e-05 3.5421e-06
3.0993e+00 1.6769e-05 3.6045e-06
3.1122e+00 1.6525e-05 3.5815e-06
3.1250e+00 1.5394e-05 3.6998e-06
3.1377e+00 1.2818e-05 3.7379e-06
3.1504e+00 7.7211e-06 3.6745e-06
3.1630e+00 7.1623e-06 3.5685e-06
3.1756e+00 4.0246e-06 3.7049e-06
3.1882e+00 4.2617e-06 3.6161e-06
3.2007e+00 -3.1466e-06 3.6785e-06
3.2131e+00 4.9009e-06 3.8384e-06
3.2255e+00 6.3110e-06 3.7706e-06
3.2379e+00 -3.1062e-06 3.7752e-06
3.2502e+00 7.7592e-07 3.7753e-06
3.2624e+00 5.6088e-06 3.8261e-06
3.2747e+00 -1.1711e-06 3.7849e-06
3.2868e+00 -3.7422e-07 3.8365e-06
3.2990e+00 8.2240e-06 3.9058e-06
3.3110e+00 4.6594e-06 3.9406e-06
3.3231e+00 1.4168e-06 3.9821e-06
3.3351e+00 6.0611e-06 3.9695e-06
3.3470e+00 5.4863e-06 4.0642e-06
3.3589e+00 -2.9863e-06 4.1683e-06
3.3708e+00 1.9241e-06 4.2643e-06
3.3826e+00 5.9977e-06 4.0635e-06
3.3944e+00 8.0768e-06 4.1710e-06
